City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
226,Lagoa Santa,BR,79.77,few clouds,-19.6272,-43.8897,Hotel Lund
227,Isla Vista,US,87.67,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
230,Mancio Lima,BR,82.47,scattered clouds,-7.6142,-72.8958,Motel Asas Do Desejo
231,Nova Olimpia,BR,77.95,light rain,-14.7972,-57.2881,Motel glamour
233,Ibotirama,BR,79.14,overcast clouds,-12.1853,-43.2206,Serra do Rio Hotel
241,Hambantota,LK,78.64,light rain,6.1241,81.1185,Bungalow 63
242,Ocampo,MX,76.28,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
243,Dingle,PH,75.33,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
248,Cape Coast,GH,78.67,broken clouds,5.1053,-1.2466,Samrit Hotel
250,Coahuayana,MX,89.08,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
257,Rio Grande,BR,77.95,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
260,Sao Lourenco Do Sul,BR,77.9,clear sky,-31.3653,-51.9783,Hotel Pousada Verde Água
262,Waingapu,ID,78.24,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
264,Hervey Bay,AU,86.04,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
266,Chilapa,MX,88.38,few clouds,22.032,-105.2317,
267,Ilhabela,BR,79.72,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
271,Umm Kaddadah,SD,77.13,broken clouds,13.6017,26.6876,
272,Atuona,PF,78.15,light rain,-9.8,-139.0333,Villa Enata
273,Atlantic Beach,US,79.12,clear sky,30.3344,-81.3987,One Ocean Resort and Spa
277,Russell,US,78.91,clear sky,32.3502,-85.1999,Macs
282,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
284,Daru,PG,78.89,overcast clouds,-9.0763,143.2092,Daru Lodge
287,Guaimaro,CU,79.3,scattered clouds,21.05,-77.35,La Constitución de Guáimaro
289,Santa Rosa,PH,78.78,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
297,Port Blair,IN,79.59,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
298,Marovoay,MG,80.74,light rain,-16.1,46.6333,Hôtel les Oliviers Marovoay
300,Half Moon Bay,US,76.69,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
316,Rayon,MX,75.92,clear sky,19.1444,-99.5836,La Paloma
317,Mandaguacu,BR,76.6,broken clouds,-23.3472,-52.0953,Comaq Palace Hotel
318,Sibolga,ID,76.73,heavy intensity rain,1.7427,98.7792,Hotel Syariah CN Darussalam
320,Tucumcari,US,76.95,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
322,Karratha,AU,86.14,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
326,Moindou,NC,84.15,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
331,Atar,MR,75.02,clear sky,20.5169,-13.0499,Oumou Elghoura
332,Lufilufi,WS,85.78,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
334,Araouane,ML,75.29,clear sky,18.9048,-3.5265,
337,Rio De Janeiro,BR,89.55,clear sky,-22.9028,-43.2075,Hotel cruz de ouro
338,Sinnamary,GF,77.0,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
339,Avera,US,80.26,clear sky,33.194,-82.5271,
340,Laem Sing,TH,83.14,overcast clouds,12.4816,102.0738,Laemsing Whitehouse Resort
347,Francisco Morato,BR,78.87,overcast clouds,-23.2817,-46.7453,Motel Golden Roses
349,Mackay,AU,88.68,scattered clouds,-21.15,149.2,International Lodge Motel
351,Grenville,GD,82.45,broken clouds,12.1167,-61.6167,Valley Breeze Guest House
352,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
353,Boa Vista,BR,87.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
363,Oum Hadjer,TD,82.62,overcast clouds,13.2954,19.6966,
366,Mango,US,80.94,clear sky,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
372,Farafangana,MG,76.08,moderate rain,-22.8167,47.8333,Miarina
381,Harper,LR,80.49,overcast clouds,4.375,-7.7169,Screensaver
386,Aneho,TG,84.4,overcast clouds,6.2333,1.6,Hotel La Linette
387,Port Maria,JM,84.16,scattered clouds,18.3685,-76.8895,Galina Breeze Hotel
390,Inirida,CO,78.28,moderate rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
394,Neuquen,AR,84.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
398,North Myrtle Beach,US,75.49,clear sky,33.816,-78.68,Avista Resort
399,San Ramon,US,75.2,clear sky,37.7799,-121.978,San Ramon Marriott
401,Cantapoy,PH,76.53,few clouds,9.4906,125.4364,Brgy Pili Mountain View
403,Sechura,PE,78.46,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
407,Alice Springs,AU,78.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
412,Pine Bluff,US,78.91,clear sky,34.2284,-92.0032,"Holiday Inn Express & Suites Pine Bluff, an IHG Hotel"
415,Morant Bay,JM,83.82,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
417,Carutapera,BR,77.67,overcast clouds,-1.195,-46.02,Lidera
418,Mayumba,GA,79.45,broken clouds,-3.432,10.6554,LIKWALE LODGE
422,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
424,Marshall,US,76.82,clear sky,34.3834,-86.3333,Riverview Campground
425,Bac Lieu,VN,79.27,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
437,Vallenar,CL,80.04,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
439,Uribia,CO,89.2,overcast clouds,11.7139,-72.266,Hotel Uribia
440,Iralaya,HN,84.29,clear sky,15.0,-83.2333,Iglesia morava renovada
442,Camocim,BR,78.96,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
444,Manzanillo,CU,84.88,few clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
